playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8476999,2022,Linus Ullmark,BOS,G,5on5,33,90215.0,61.23,42.0,1407.0,49.59,68.0,179.58,196.0,743.96,749.0,23.64,27.0,405.52,321.0,304.62,368.0,59.07,767.0,203.0,56.0,20.43,25.12,15.68,15.0,17.0,10.0,381.0,2.0,1.0
8476999,2022,Linus Ullmark,BOS,G,4on5,33,11169.0,16.34,14.0,231.0,11.9,13.0,26.29,22.0,127.24,114.0,0.93,0.0,76.11,68.0,39.28,53.0,15.64,121.0,34.0,19.0,2.98,4.19,9.15,2.0,3.0,9.0,57.0,0.0,0.0
8476999,2022,Linus Ullmark,BOS,G,5on4,33,9818.0,1.92,1.0,31.0,1.14,0.0,2.82,1.0,20.96,24.0,4.92,6.0,6.86,4.0,14.62,22.0,1.85,19.0,6.0,3.0,0.45,0.7,0.77,0.0,0.0,1.0,3.0,0.0,0.0
8478009,2022,Ilya Sorokin,NYI,G,other,39,3128.0,8.03,7.0,96.0,4.31,8.0,10.67,10.0,54.29,49.0,0.97,1.0,31.25,27.0,16.84,19.0,7.27,38.0,23.0,12.0,1.31,2.75,3.97,0.0,4.0,3.0,23.0,0.0,0.0
8478009,2022,Ilya Sorokin,NYI,G,all,39,133855.0,113.33,86.0,2271.0,86.55,139.0,285.88,228.0,1203.64,1156.0,38.35,27.0,655.77,570.0,472.57,591.0,106.6,1217.0,311.0,127.0,34.22,39.27,39.85,26.0,35.0,25.0,616.0,0.0,0.0
8478009,2022,Ilya Sorokin,NYI,G,5on5,39,109940.0,84.22,62.0,1797.0,63.52,103.0,233.51,182.0,946.59,901.0,31.31,24.0,512.04,445.0,380.56,480.0,80.17,979.0,236.0,91.0,27.84,29.77,26.61,21.0,23.0,18.0,491.0,0.0,0.0
8478009,2022,Ilya Sorokin,NYI,G,4on5,39,10587.0,17.77,13.0,325.0,16.91,27.0,36.31,32.0,167.76,167.0,0.74,0.0,100.99,87.0,52.29,68.0,15.92,170.0,38.0,22.0,4.2,4.9,8.67,5.0,5.0,3.0,95.0,0.0,0.0
8478009,2022,Ilya Sorokin,NYI,G,5on4,39,10200.0,2.48,4.0,42.0,1.46,0.0,4.43,4.0,29.48,34.0,5.26,2.0,9.13,9.0,20.56,21.0,2.45,27.0,11.0,1.0,0.71,1.49,0.27,0.0,3.0,1.0,3.0,0.0,0.0
8477992,2022,Jonas Johansson,COL,G,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477992,2022,Jonas Johansson,COL,G,all,1,1395.0,0.69,0.0,11.0,0.5,2.0,1.5,1.0,6.51,7.0,0.53,0.0,3.49,1.0,2.59,5.0,0.6,6.0,3.0,0.0,0.16,0.53,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8477992,2022,Jonas Johansson,COL,G,5on5,1,1155.0,0.69,0.0,11.0,0.5,2.0,1.5,1.0,6.51,7.0,0.4,0.0,3.49,1.0,2.59,5.0,0.6,6.0,3.0,0.0,0.16,0.53,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8477992,2022,Jonas Johansson,COL,G,4on5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477992,2022,Jonas Johansson,COL,G,5on4,1,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480280,2022,Jeremy Swayman,BOS,G,other,21,2379.0,6.75,4.0,60.0,2.87,5.0,7.0,2.0,34.15,28.0,1.11,1.0,20.04,18.0,8.99,16.0,4.78,24.0,13.0,10.0,0.95,1.56,4.25,1.0,3.0,0.0,13.0,0.0,0.0
8480280,2022,Jeremy Swayman,BOS,G,all,21,66140.0,50.79,43.0,953.0,36.2,40.0,115.17,115.0,512.45,500.0,21.84,20.0,277.0,215.0,202.09,271.0,47.74,487.0,160.0,51.0,14.13,19.61,17.05,13.0,21.0,9.0,255.0,0.0,0.0
8480280,2022,Jeremy Swayman,BOS,G,5on5,21,53327.0,32.59,28.0,731.0,25.3,28.0,89.81,85.0,383.1,373.0,16.69,17.0,206.03,165.0,155.9,207.0,31.72,378.0,116.0,28.0,11.22,13.98,7.39,11.0,14.0,3.0,209.0,0.0,0.0
8480280,2022,Jeremy Swayman,BOS,G,4on5,21,5132.0,8.6,10.0,124.0,6.57,7.0,14.97,23.0,70.85,73.0,0.46,0.0,42.97,29.0,22.53,26.0,8.41,69.0,19.0,10.0,1.41,2.57,4.61,1.0,4.0,5.0,26.0,0.0,0.0
8480280,2022,Jeremy Swayman,BOS,G,5on4,21,5302.0,1.8,1.0,26.0,0.86,0.0,2.12,4.0,16.55,17.0,3.42,2.0,4.59,1.0,11.19,15.0,1.79,13.0,5.0,3.0,0.4,0.61,0.8,0.0,0.0,1.0,5.0,0.0,0.0
8476945,2022,Connor Hellebuyck,WPG,G,other,40,4071.0,7.13,5.0,108.0,4.21,5.0,12.69,12.0,57.59,55.0,1.76,2.0,32.63,34.0,20.25,22.0,6.57,47.0,22.0,10.0,1.79,2.64,2.7,2.0,3.0,0.0,29.0,0.0,0.0
8476945,2022,Connor Hellebuyck,WPG,G,all,40,142680.0,118.84,97.0,2258.0,87.39,117.0,285.64,235.0,1237.09,1261.0,41.01,33.0,685.09,571.0,497.17,664.0,111.8,1222.0,371.0,122.0,35.05,46.06,37.73,32.0,36.0,29.0,543.0,0.0,0.0
8476945,2022,Connor Hellebuyck,WPG,G,5on5,40,116757.0,88.66,72.0,1801.0,66.91,96.0,237.18,196.0,991.86,1016.0,32.7,26.0,545.02,438.0,403.73,545.0,84.23,1001.0,291.0,82.0,29.33,36.57,22.76,28.0,28.0,16.0,427.0,0.0,0.0
8476945,2022,Connor Hellebuyck,WPG,G,4on5,40,10550.0,20.1,18.0,303.0,14.66,15.0,31.33,25.0,155.34,152.0,0.58,1.0,97.85,93.0,50.73,66.0,18.14,143.0,51.0,26.0,3.15,5.95,11.0,2.0,4.0,12.0,83.0,0.0,0.0
8476945,2022,Connor Hellebuyck,WPG,G,5on4,40,11302.0,2.95,2.0,46.0,1.63,1.0,4.45,2.0,32.29,38.0,5.98,4.0,9.59,6.0,22.47,31.0,2.85,31.0,7.0,4.0,0.79,0.9,1.26,0.0,1.0,1.0,4.0,0.0,0.0
8478435,2022,Dan Vladar,CGY,G,other,19,2084.0,3.9,4.0,57.0,2.08,1.0,5.32,8.0,29.76,30.0,0.76,0.0,17.55,17.0,10.22,10.0,3.81,22.0,15.0,3.0,0.7,1.82,1.39,1.0,2.0,1.0,17.0,0.0,0.0
8478435,2022,Dan Vladar,CGY,G,all,19,66376.0,48.81,51.0,984.0,37.54,40.0,128.93,127.0,545.67,533.0,21.49,11.0,300.47,230.0,218.97,276.0,47.33,551.0,158.0,44.0,16.35,18.92,13.53,27.0,14.0,10.0,231.0,2.0,1.0
8478435,2022,Dan Vladar,CGY,G,5on5,19,52090.0,33.92,34.0,746.0,26.57,34.0,102.97,91.0,412.96,398.0,17.02,10.0,225.71,175.0,169.8,214.0,32.89,434.0,108.0,31.0,12.94,12.92,8.07,21.0,9.0,4.0,173.0,2.0,1.0
8478435,2022,Dan Vladar,CGY,G,4on5,19,6619.0,10.07,10.0,159.0,8.3,5.0,19.09,26.0,89.73,89.0,0.61,0.0,52.7,35.0,28.91,42.0,9.71,82.0,30.0,10.0,2.35,3.64,4.08,4.0,1.0,5.0,37.0,0.0,0.0
8478435,2022,Dan Vladar,CGY,G,5on4,19,5583.0,0.86,2.0,21.0,0.53,0.0,1.42,2.0,12.42,15.0,3.06,1.0,4.14,3.0,9.68,10.0,0.85,12.0,5.0,0.0,0.31,0.55,0.0,0.0,2.0,0.0,4.0,0.0,0.0
8478499,2022,Adin Hill,VGK,G,other,19,1684.0,1.99,2.0,45.0,1.8,1.0,4.21,8.0,21.37,20.0,0.42,2.0,15.25,14.0,6.97,6.0,1.91,25.0,4.0,2.0,1.02,0.49,0.48,2.0,0.0,0.0,14.0,0.0,0.0
8478499,2022,Adin Hill,VGK,G,all,19,62968.0,41.95,46.0,1017.0,35.03,42.0,123.85,117.0,514.16,500.0,18.23,11.0,294.0,246.0,210.03,257.0,40.43,564.0,123.0,35.0,16.39,14.41,11.15,19.0,16.0,11.0,295.0,2.0,1.0
8478499,2022,Adin Hill,VGK,G,5on5,19,54856.0,34.0,37.0,859.0,28.49,35.0,107.89,100.0,438.47,424.0,15.54,8.0,247.34,200.0,182.83,229.0,33.05,491.0,98.0,26.0,14.28,11.56,8.16,17.0,14.0,6.0,244.0,2.0,1.0
8478499,2022,Adin Hill,VGK,G,4on5,19,3035.0,4.81,6.0,95.0,4.14,6.0,10.19,8.0,44.54,47.0,0.26,0.0,27.98,27.0,14.31,16.0,4.32,40.0,17.0,6.0,0.79,1.75,2.27,0.0,2.0,4.0,32.0,0.0,0.0
8478499,2022,Adin Hill,VGK,G,5on4,19,3393.0,0.55,0.0,14.0,0.34,0.0,1.08,1.0,6.32,7.0,1.98,1.0,2.27,3.0,4.54,5.0,0.54,7.0,2.0,0.0,0.23,0.32,0.0,0.0,0.0,0.0,5.0,0.0,0.0
8480313,2022,Logan Thompson,VGK,G,other,35,2966.0,6.27,5.0,103.0,4.1,6.0,9.93,14.0,51.17,55.0,0.74,0.0,30.73,27.0,17.27,18.0,6.11,46.0,17.0,7.0,1.74,1.87,2.67,1.0,2.0,2.0,33.0,2.0,1.0
8480313,2022,Logan Thompson,VGK,G,all,35,124570.0,90.41,93.0,2067.0,72.16,84.0,243.54,253.0,1045.22,1068.0,34.79,44.0,581.86,458.0,423.74,521.0,87.09,1092.0,271.0,83.0,30.82,32.72,26.87,30.0,37.0,26.0,621.0,2.0,1.0
8480313,2022,Logan Thompson,VGK,G,5on5,35,103673.0,66.76,70.0,1672.0,55.56,65.0,203.43,209.0,841.71,850.0,27.63,35.0,466.3,360.0,347.25,429.0,64.45,896.0,220.0,51.0,25.37,26.67,14.74,27.0,32.0,11.0,505.0,0.0,0.0
8480313,2022,Logan Thompson,VGK,G,4on5,35,8231.0,13.97,15.0,240.0,10.92,10.0,25.53,25.0,121.82,126.0,0.79,0.0,74.69,68.0,38.04,47.0,13.2,121.0,27.0,19.0,2.95,3.33,7.68,1.0,3.0,11.0,73.0,0.0,0.0
8480313,2022,Logan Thompson,VGK,G,5on4,35,9700.0,3.24,2.0,45.0,1.46,3.0,4.28,4.0,28.4,35.0,5.36,9.0,9.15,3.0,19.89,26.0,3.16,26.0,7.0,6.0,0.6,0.86,1.78,0.0,0.0,2.0,6.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,other,21,1530.0,2.81,7.0,47.0,1.97,2.0,4.44,2.0,23.27,23.0,0.67,0.0,14.65,15.0,8.35,7.0,2.41,21.0,9.0,3.0,0.73,0.99,1.09,2.0,4.0,1.0,14.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,all,21,74143.0,59.86,79.0,1232.0,46.18,61.0,144.82,161.0,634.04,628.0,20.4,16.0,361.59,274.0,258.08,294.0,57.45,652.0,185.0,55.0,20.04,22.23,17.58,22.0,39.0,18.0,340.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,5on5,21,60438.0,43.81,53.0,964.0,34.15,44.0,118.22,139.0,498.17,500.0,16.34,15.0,279.57,213.0,208.34,235.0,42.51,529.0,132.0,40.0,16.67,16.09,11.04,16.0,28.0,9.0,263.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,4on5,21,7072.0,11.79,14.0,198.0,9.25,14.0,20.28,18.0,99.18,91.0,0.44,1.0,62.66,46.0,31.69,43.0,11.09,92.0,36.0,11.0,2.35,4.26,5.18,3.0,3.0,8.0,59.0,0.0,0.0
