team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NSH,2022,NSH,NSH,Team Level,5on4,49,0.85,0.86,0.83,14623.0,204.15,25.84,19.43,41.6,7.13,130.72,67.28,23.85,25.84,23.85,199.0,93.0,111.0,403.0,21.0,17.0,3.0,44.0,4.0,106.0,100.0,178.0,271.0,12.0,24.0,123.0,19.0,8.0,34.0,190.0,73.0,29.0,5.43,9.09,11.33,3.0,4.0,14.0,403.0,292.0,292.0,2.0,5.02,3.32,2.92,27.94,27.94,26.26,45.82,4.41,2.49,6.33,1.39,14.43,31.95,4.4,4.41,4.4,54.0,7.0,7.0,68.0,4.0,0.0,0.0,6.0,0.0,11.0,40.0,50.0,57.0,5.0,10.0,117.0,35.0,42.0,28.0,40.0,18.0,3.0,1.34,2.11,0.96,1.0,2.0,1.0,68.0,61.0,61.0,25.0,0.57,0.0,0.0,4.98,4.98,4.97
CHI,2022,CHI,CHI,Team Level,other,49,0.47,0.45,0.47,4702.0,67.56,15.31,5.12,11.34,2.23,36.56,21.43,13.47,15.31,13.47,65.0,27.0,23.0,115.0,14.0,10.0,2.0,16.0,4.0,27.0,21.0,51.0,78.0,4.0,8.0,81.0,18.0,11.0,11.0,49.0,23.0,20.0,1.6,2.88,10.83,2.0,6.0,6.0,115.0,92.0,92.0,5.0,1.42,4.08,4.08,12.65,12.65,11.95,74.98,17.53,5.53,12.74,2.51,41.36,24.32,16.6,17.53,16.6,66.0,38.0,39.0,143.0,15.0,5.0,0.0,8.0,6.0,35.0,35.0,51.0,89.0,4.0,8.0,46.0,6.0,12.0,6.0,56.0,23.0,25.0,2.09,2.62,12.8,0.0,2.0,13.0,143.0,104.0,104.0,2.0,1.67,1.89,1.05,18.15,18.15,17.61
CHI,2022,CHI,CHI,Team Level,all,49,0.43,0.44,0.44,177904.0,1282.13,127.84,89.18,296.58,42.26,701.09,508.03,122.41,126.22,120.82,1286.0,479.0,600.0,2365.0,120.0,109.0,21.0,274.0,35.0,541.0,686.0,1166.0,1645.0,174.0,404.0,1495.0,1169.0,439.0,490.0,1288.0,323.0,154.0,35.24,40.21,52.38,39.0,36.0,45.0,2311.6,1765.0,1732.25,265.0,19.76,24.92,24.97,122.63,121.03,118.08,1664.91,169.61,117.49,386.31,54.57,904.18,655.85,162.65,172.85,165.8,1655.0,633.0,777.0,3065.0,177.0,163.0,32.0,300.0,53.0,752.0,843.0,1478.0,2111.0,170.0,387.0,1185.0,839.0,351.0,335.0,1651.0,438.0,199.0,47.77,54.18,67.66,60.0,51.0,66.0,3159.14,2288.0,2348.18,157.0,25.87,36.52,36.54,158.95,161.97,158.24
CHI,2022,CHI,CHI,Team Level,5on5,49,0.41,0.43,0.42,146381.0,984.94,83.73,65.26,238.99,32.77,538.0,400.24,81.61,82.11,80.02,977.0,382.0,490.0,1849.0,77.0,82.0,14.0,219.0,26.0,413.0,542.0,900.0,1282.0,152.0,358.0,1130.0,1088.0,373.0,404.0,1021.0,245.0,93.0,27.27,30.52,25.94,31.0,24.0,22.0,1795.6,1359.0,1326.25,234.0,13.51,16.98,17.03,80.21,78.61,77.64,1346.19,120.58,91.4,325.63,44.25,733.07,540.07,116.19,123.81,119.35,1343.0,512.0,635.0,2490.0,124.0,131.0,28.0,251.0,43.0,620.0,686.0,1219.0,1731.0,153.0,353.0,941.0,793.0,300.0,295.0,1369.0,353.0,133.0,40.02,43.67,36.89,53.0,35.0,36.0,2584.14,1855.0,1915.18,139.0,18.95,27.7,27.72,111.81,114.82,112.72
CHI,2022,CHI,CHI,Team Level,4on5,49,0.12,0.13,0.15,13453.0,36.61,3.58,1.86,5.2,1.01,11.57,24.78,3.51,3.58,3.51,45.0,3.0,6.0,54.0,5.0,0.0,0.0,3.0,0.0,6.0,34.0,40.0,43.0,4.0,8.0,130.0,50.0,44.0,25.0,35.0,6.0,7.0,0.87,0.82,1.89,2.0,2.0,1.0,54.0,48.0,48.0,23.0,0.43,0.0,0.0,4.02,4.02,3.94,201.14,26.29,18.35,42.1,6.56,116.84,62.86,24.68,26.29,24.68,207.0,66.0,92.0,365.0,33.0,24.0,3.0,37.0,4.0,92.0,83.0,174.0,240.0,8.0,16.0,121.0,13.0,7.0,22.0,192.0,48.0,33.0,4.6,5.9,15.79,7.0,11.0,15.0,365.0,273.0,273.0,4.0,4.76,6.16,7.0,24.05,24.05,22.95
CHI,2022,CHI,CHI,Team Level,5on4,49,0.83,0.84,0.83,13368.0,193.01,25.22,16.94,41.05,6.25,114.96,61.59,23.81,25.22,23.81,199.0,67.0,81.0,347.0,24.0,17.0,5.0,36.0,5.0,95.0,89.0,175.0,242.0,14.0,30.0,154.0,13.0,11.0,50.0,183.0,49.0,34.0,5.51,5.99,13.72,4.0,4.0,16.0,347.0,266.0,266.0,3.0,4.4,3.87,3.87,25.75,25.75,24.55,42.6,5.22,2.21,5.84,1.24,12.91,28.59,5.18,5.22,5.18,39.0,17.0,11.0,67.0,5.0,3.0,1.0,4.0,0.0,5.0,39.0,34.0,51.0,5.0,10.0,77.0,27.0,32.0,12.0,34.0,14.0,8.0,1.05,1.99,2.18,0.0,3.0,2.0,67.0,56.0,56.0,12.0,0.5,0.77,0.77,4.95,4.95,4.94
EDM,2022,EDM,EDM,Team Level,other,51,0.56,0.52,0.5,6279.0,83.08,21.24,6.09,13.32,2.55,43.17,25.61,20.49,21.24,20.49,85.0,27.0,39.0,151.0,22.0,5.0,1.0,15.0,1.0,39.0,30.0,63.0,90.0,6.0,12.0,87.0,14.0,22.0,17.0,46.0,37.0,29.0,1.91,4.76,14.57,0.0,8.0,14.0,151.0,112.0,112.0,5.0,1.7,1.6,2.02,20.92,20.92,20.53,81.69,16.82,5.84,14.62,2.86,44.34,26.53,15.81,16.82,15.81,87.0,24.0,29.0,140.0,19.0,6.0,1.0,21.0,3.0,34.0,28.0,68.0,92.0,6.0,12.0,77.0,20.0,13.0,12.0,57.0,31.0,23.0,2.07,3.72,11.03,3.0,6.0,10.0,140.0,111.0,111.0,6.0,1.7,1.9,1.9,16.61,16.61,15.73
EDM,2022,EDM,EDM,Team Level,all,51,0.54,0.51,0.5,184409.0,1655.39,185.87,118.09,364.88,53.29,895.09,647.79,175.5,186.93,176.6,1682.0,583.0,738.0,3003.0,192.0,133.0,14.0,317.0,53.0,801.0,769.0,1490.0,2073.0,203.0,437.0,1508.0,1176.0,464.0,551.0,1511.0,569.0,185.0,46.13,70.0,69.73,50.0,84.0,58.0,3039.1,2265.0,2288.74,323.0,26.25,28.41,28.46,183.66,184.75,178.5,1620.97,155.47,110.72,378.13,53.79,895.16,642.73,150.49,155.57,150.58,1628.0,608.0,666.0,2902.0,163.0,138.0,27.0,377.0,46.0,765.0,747.0,1465.0,2073.0,199.0,430.0,1533.0,1315.0,438.0,514.0,1658.0,427.0,151.0,49.39,51.36,54.72,49.0,54.0,60.0,2889.16,2236.0,2229.24,276.0,24.74,26.6,26.65,153.56,153.53,150.35
EDM,2022,EDM,EDM,Team Level,5on5,51,0.53,0.51,0.5,146584.0,1258.91,114.41,85.79,294.72,40.88,682.71,510.48,109.48,115.48,110.57,1269.0,460.0,593.0,2322.0,112.0,96.0,8.0,261.0,43.0,614.0,603.0,1157.0,1617.0,179.0,389.0,1118.0,1102.0,383.0,457.0,1224.0,406.0,99.0,37.84,50.1,26.46,42.0,54.0,16.0,2358.1,1729.0,1752.74,286.0,17.82,19.16,18.79,113.44,114.53,111.84,1240.12,103.09,79.91,301.94,41.09,678.36,508.6,100.6,103.19,100.69,1236.0,477.0,529.0,2242.0,104.0,104.0,22.0,291.0,30.0,593.0,591.0,1132.0,1609.0,178.0,385.0,1172.0,1219.0,375.0,414.0,1299.0,328.0,86.0,39.35,39.32,24.43,41.0,38.0,25.0,2229.16,1713.0,1706.24,240.0,16.5,19.32,19.57,100.02,100.0,98.69
EDM,2022,EDM,EDM,Team Level,4on5,51,0.16,0.14,0.15,16542.0,50.37,6.45,2.55,6.93,1.5,14.9,33.66,6.41,6.45,6.41,56.0,10.0,10.0,76.0,6.0,3.0,1.0,4.0,1.0,9.0,43.0,50.0,60.0,7.0,14.0,151.0,38.0,42.0,33.0,37.0,22.0,7.0,1.31,2.79,2.35,1.0,4.0,1.0,76.0,66.0,66.0,31.0,0.59,0.92,0.92,6.12,6.12,6.11,270.07,33.22,23.72,57.46,8.93,163.31,85.35,31.75,33.22,31.75,274.0,98.0,102.0,474.0,38.0,28.0,4.0,61.0,12.0,130.0,103.0,236.0,334.0,9.0,18.0,156.0,22.0,23.0,58.0,271.0,62.0,39.0,7.12,7.63,18.47,4.0,10.0,24.0,474.0,372.0,372.0,2.0,6.25,5.38,5.18,34.29,34.29,33.32
EDM,2022,EDM,EDM,Team Level,5on4,51,0.95,0.91,0.9,15004.0,263.02,43.77,23.66,49.89,8.35,154.3,78.02,39.12,43.77,39.12,272.0,86.0,96.0,454.0,52.0,29.0,4.0,37.0,8.0,139.0,93.0,220.0,306.0,11.0,22.0,152.0,22.0,17.0,44.0,204.0,104.0,50.0,5.07,12.35,26.35,7.0,18.0,27.0,454.0,358.0,358.0,1.0,6.15,6.73,6.73,43.18,43.18,40.01,29.09,2.34,1.25,4.11,0.91,9.15,22.25,2.33,2.34,2.33,31.0,9.0,6.0,46.0,2.0,0.0,0.0,4.0,1.0,8.0,25.0,29.0,38.0,6.0,15.0,128.0,54.0,27.0,30.0,31.0,6.0,3.0,0.86,0.68,0.8,1.0,0.0,1.0,46.0,40.0,40.0,28.0,0.29,0.0,0.0,2.63,2.63,2.61
ANA,2022,ANA,ANA,Team Level,other,52,0.48,0.47,0.48,5981.0,94.32,16.9,7.09,17.17,3.08,49.25,33.52,15.56,16.9,15.56,101.0,26.0,33.0,160.0,20.0,10.0,3.0,17.0,2.0,43.0,35.0,81.0,107.0,5.0,10.0,87.0,14.0,21.0,14.0,70.0,34.0,23.0,2.54,4.13,10.22,2.0,8.0,10.0,160.0,127.0,127.0,6.0,2.06,3.33,3.88,15.07,15.07,14.34,104.29,18.4,7.74,18.83,3.42,53.45,38.16,17.4,18.4,17.4,101.0,39.0,39.0,179.0,15.0,9.0,2.0,17.0,4.0,50.0,45.0,86.0,125.0,11.0,22.0,79.0,14.0,17.0,19.0,75.0,45.0,20.0,2.84,6.13,9.43,2.0,3.0,10.0,179.0,140.0,140.0,7.0,2.12,2.8,2.8,17.72,17.72,17.19
ANA,2022,ANA,ANA,Team Level,all,52,0.41,0.45,0.44,190380.0,1537.35,138.28,104.89,350.47,50.3,837.97,632.11,132.47,137.21,131.44,1549.0,565.0,711.0,2825.0,127.0,137.0,21.0,328.0,39.0,714.0,770.0,1422.0,1987.0,224.0,506.0,1410.0,921.0,312.0,423.0,1550.0,443.0,121.0,43.28,53.65,41.35,43.0,44.0,40.0,2764.57,2114.0,2081.62,242.0,23.27,27.94,27.98,133.57,132.39,129.1,1972.39,202.8,143.23,443.77,65.62,1096.56,778.01,193.04,205.89,195.96,2013.0,717.0,770.0,3500.0,207.0,213.0,23.0,380.0,68.0,903.0,959.0,1806.0,2523.0,193.0,447.0,1648.0,993.0,371.0,445.0,1922.0,591.0,217.0,59.42,73.23,70.15,65.0,77.0,65.0,3605.1,2730.0,2795.83,215.0,31.68,43.35,43.4,191.08,193.83,188.77
ANA,2022,ANA,ANA,Team Level,5on5,52,0.4,0.44,0.43,154219.0,1177.13,93.95,74.89,280.38,38.41,634.16,496.2,90.79,92.88,89.77,1187.0,431.0,555.0,2173.0,84.0,101.0,14.0,268.0,32.0,524.0,610.0,1103.0,1534.0,198.0,451.0,1061.0,867.0,249.0,355.0,1223.0,321.0,74.0,34.24,39.41,20.31,39.0,29.0,16.0,2112.57,1618.0,1585.62,215.0,15.46,19.23,19.07,90.35,89.17,87.78,1542.62,141.39,107.02,361.57,51.4,858.58,627.04,135.12,144.48,138.04,1588.0,559.0,626.0,2773.0,143.0,167.0,17.0,310.0,55.0,691.0,781.0,1445.0,2004.0,166.0,392.0,1278.0,926.0,314.0,370.0,1566.0,437.0,144.0,48.64,53.82,38.93,53.0,59.0,31.0,2878.1,2147.0,2212.83,189.0,22.15,33.58,33.62,129.92,132.67,129.81
ANA,2022,ANA,ANA,Team Level,4on5,52,0.06,0.1,0.1,15774.0,35.35,2.61,1.51,4.84,1.02,10.81,26.21,2.6,2.61,2.6,39.0,8.0,10.0,57.0,0.0,0.0,0.0,1.0,1.0,10.0,35.0,39.0,47.0,10.0,23.0,134.0,28.0,32.0,20.0,33.0,13.0,1.0,0.71,1.63,0.27,0.0,0.0,0.0,57.0,47.0,47.0,19.0,0.34,0.0,0.0,2.95,2.95,2.94,293.55,39.26,26.83,59.05,9.8,174.83,91.22,36.79,39.26,36.79,291.0,110.0,100.0,501.0,45.0,36.0,4.0,51.0,9.0,154.0,106.0,246.0,356.0,11.0,23.0,177.0,11.0,11.0,33.0,255.0,99.0,47.0,7.33,12.03,19.9,10.0,13.0,22.0,501.0,401.0,401.0,0.0,7.03,6.94,6.94,39.36,39.36,37.7
ANA,2022,ANA,ANA,Team Level,5on4,52,0.87,0.9,0.88,14406.0,230.54,24.82,21.39,48.08,7.79,143.75,76.16,23.52,24.82,23.52,222.0,100.0,113.0,435.0,23.0,26.0,4.0,42.0,4.0,137.0,90.0,199.0,299.0,11.0,22.0,128.0,12.0,10.0,34.0,224.0,75.0,23.0,5.78,8.48,10.55,2.0,7.0,14.0,435.0,322.0,322.0,2.0,5.41,5.37,5.03,25.2,25.2,24.04,31.93,3.74,1.64,4.33,0.99,9.71,21.59,3.73,3.74,3.73,33.0,9.0,5.0,47.0,4.0,1.0,0.0,2.0,0.0,8.0,27.0,29.0,38.0,5.0,10.0,114.0,42.0,29.0,23.0,26.0,10.0,6.0,0.6,1.25,1.9,0.0,2.0,2.0,47.0,42.0,42.0,19.0,0.38,0.04,0.04,4.08,4.08,4.08
NJD,2022,NJD,NJD,Team Level,other,50,0.62,0.57,0.59,6966.0,108.51,28.15,7.77,18.03,3.57,58.93,34.54,24.96,28.15,24.96,104.0,47.0,49.0,200.0,26.0,10.0,4.0,11.0,7.0,58.0,39.0,78.0,125.0,4.0,8.0,77.0,21.0,16.0,13.0,59.0,52.0,40.0,2.37,6.16,19.63,4.0,9.0,13.0,200.0,151.0,151.0,4.0,2.23,3.42,3.42,26.96,26.96,25.16,75.24,16.97,5.5,12.66,2.41,41.95,23.51,16.25,16.97,16.25,68.0,35.0,46.0,149.0,18.0,7.0,2.0,5.0,1.0,43.0,29.0,50.0,85.0,9.0,18.0,76.0,29.0,17.0,16.0,52.0,28.0,23.0,2.08,3.42,11.46,4.0,4.0,10.0,149.0,103.0,103.0,5.0,1.6,2.06,2.06,16.51,16.51,16.11
NJD,2022,NJD,NJD,Team Level,all,50,0.54,0.53,0.53,182126.0,1727.03,176.12,116.27,401.61,57.81,936.11,676.15,165.39,177.06,166.36,1719.0,646.0,828.0,3193.0,175.0,163.0,22.0,317.0,53.0,857.0,800.0,1544.0,2190.0,174.0,380.0,1494.0,846.0,339.0,447.0,1668.0,525.0,172.0,49.83,65.13,61.17,55.0,74.0,46.0,3228.89,2365.0,2391.66,224.0,25.78,33.35,33.42,168.48,169.39,163.59,1481.68,147.3,101.67,343.72,50.19,815.93,598.2,141.66,147.37,141.74,1424.0,633.0,743.0,2800.0,134.0,156.0,19.0,255.0,41.0,722.0,749.0,1290.0,1923.0,172.0,380.0,1429.0,1152.0,330.0,431.0,1478.0,420.0,159.0,43.61,50.92,52.77,40.0,43.0,51.0,2785.55,2057.0,2051.59,212.0,22.48,30.15,30.21,139.57,139.43,136.53
NJD,2022,NJD,NJD,Team Level,5on5,50,0.54,0.54,0.54,147021.0,1367.53,117.55,86.78,334.07,45.57,732.77,550.32,112.94,118.49,113.9,1360.0,508.0,674.0,2542.0,120.0,122.0,13.0,265.0,42.0,646.0,673.0,1240.0,1748.0,158.0,348.0,1135.0,790.0,270.0,371.0,1379.0,392.0,97.0,41.68,48.91,26.97,49.0,54.0,17.0,2577.89,1868.0,1894.66,202.0,17.98,23.03,23.1,112.43,113.34,110.94,1139.64,98.55,73.87,278.79,39.02,626.19,471.58,95.47,98.62,95.54,1098.0,490.0,593.0,2181.0,85.0,117.0,16.0,217.0,37.0,540.0,592.0,1013.0,1503.0,144.0,324.0,1119.0,1059.0,274.0,369.0,1172.0,325.0,91.0,34.45,39.43,24.67,31.0,28.0,26.0,2166.55,1588.0,1582.59,192.0,15.29,22.06,22.17,91.67,91.53,90.31
NJD,2022,NJD,NJD,Team Level,4on5,50,0.09,0.11,0.11,14825.0,28.41,2.74,1.39,4.27,1.0,9.32,20.28,2.73,2.74,2.73,32.0,7.0,8.0,47.0,5.0,1.0,1.0,3.0,0.0,8.0,22.0,27.0,34.0,5.0,10.0,137.0,23.0,47.0,15.0,29.0,6.0,4.0,0.85,0.81,1.08,1.0,2.0,2.0,47.0,39.0,39.0,15.0,0.32,0.37,0.37,2.69,2.69,2.69,218.3,27.4,19.92,44.84,7.24,131.95,69.65,25.59,27.4,25.59,212.0,89.0,97.0,398.0,26.0,32.0,1.0,28.0,3.0,125.0,87.0,186.0,275.0,14.0,28.0,131.0,19.0,7.0,29.0,206.0,56.0,39.0,5.62,6.69,15.09,4.0,8.0,14.0,398.0,301.0,301.0,1.0,5.05,6.04,5.99,26.46,26.46,25.2
NJD,2022,NJD,NJD,Team Level,5on4,50,0.86,0.85,0.83,13314.0,222.57,27.68,20.33,45.25,7.66,135.07,71.01,24.77,27.68,24.77,223.0,84.0,97.0,404.0,24.0,30.0,4.0,38.0,4.0,145.0,66.0,199.0,283.0,7.0,14.0,145.0,12.0,6.0,48.0,201.0,75.0,31.0,4.93,9.25,13.49,1.0,9.0,14.0,404.0,307.0,307.0,3.0,5.25,6.53,6.53,26.39,26.39,24.79,48.5,4.39,2.37,7.43,1.52,15.83,33.46,4.36,4.39,4.36,46.0,19.0,7.0,72.0,5.0,0.0,0.0,5.0,0.0,14.0,41.0,41.0,60.0,5.0,10.0,103.0,45.0,32.0,17.0,48.0,11.0,6.0,1.46,1.38,1.55,1.0,3.0,1.0,72.0,65.0,65.0,14.0,0.54,0.0,0.0,4.93,4.93,4.9
NYR,2022,NYR,NYR,Team Level,other,51,0.53,0.53,0.53,6983.0,105.46,24.43,7.54,18.74,3.59,56.84,33.87,23.2,24.43,23.2,93.0,52.0,56.0,201.0,25.0,9.0,1.0,7.0,5.0,62.0,37.0,68.0,120.0,5.0,10.0,89.0,19.0,20.0,17.0,69.0,45.0,31.0,2.93,5.55,15.94,3.0,6.0,16.0,201.0,145.0,145.0,3.0,2.17,2.08,2.08,24.51,24.51,23.47,98.69,21.79,7.13,17.14,3.41,50.05,31.48,19.72,21.79,19.72,99.0,32.0,46.0,177.0,19.0,9.0,3.0,19.0,1.0,44.0,39.0,80.0,112.0,5.0,10.0,80.0,19.0,10.0,19.0,57.0,44.0,30.0,1.98,5.39,14.42,1.0,6.0,12.0,177.0,131.0,131.0,7.0,2.13,4.27,4.27,19.64,19.64,18.39
NYR,2022,NYR,NYR,Team Level,all,51,0.51,0.53,0.53,186254.0,1687.13,160.25,120.29,382.95,56.03,952.93,679.57,154.05,161.4,155.13,1663.0,689.0,787.0,3139.0,164.0,124.0,8.0,276.0,45.0,942.0,801.0,1499.0,2188.0,167.0,379.0,1353.0,1324.0,390.0,517.0,1735.0,473.0,144.0,52.08,57.5,50.68,58.0,61.0,45.0,3163.68,2352.0,2368.59,241.0,26.74,21.9,21.9,165.09,166.21,161.81,1501.02,151.79,103.7,342.06,49.34,811.36,593.82,144.49,151.78,144.55,1501.0,552.0,729.0,2782.0,134.0,120.0,18.0,229.0,28.0,732.0,810.0,1367.0,1919.0,186.0,427.0,1418.0,1110.0,342.0,478.0,1459.0,444.0,150.0,42.75,54.95,54.09,48.0,46.0,40.0,2774.36,2053.0,2052.89,233.0,23.06,28.9,28.97,145.88,146.02,141.9
NYR,2022,NYR,NYR,Team Level,5on5,51,0.5,0.52,0.52,150997.0,1248.46,100.37,83.02,297.56,41.11,699.64,518.3,97.57,101.52,98.66,1247.0,493.0,613.0,2353.0,106.0,82.0,6.0,217.0,33.0,687.0,615.0,1141.0,1634.0,147.0,339.0,1029.0,1258.0,316.0,441.0,1326.0,335.0,79.0,38.98,40.31,21.08,43.0,46.0,17.0,2377.68,1740.0,1756.59,221.0,17.13,15.39,15.47,102.04,103.16,101.35,1176.68,99.9,77.87,282.49,38.81,633.83,477.16,96.52,99.9,96.57,1174.0,437.0,595.0,2206.0,91.0,87.0,11.0,185.0,23.0,576.0,649.0,1083.0,1520.0,165.0,385.0,1085.0,1042.0,296.0,384.0,1184.0,343.0,84.0,35.73,42.24,21.93,46.0,31.0,14.0,2198.36,1611.0,1610.89,204.0,16.13,16.95,17.01,99.03,99.17,97.48
NYR,2022,NYR,NYR,Team Level,4on5,51,0.17,0.19,0.21,13085.0,53.53,5.54,2.76,7.6,1.51,15.98,36.6,5.51,5.54,5.51,51.0,19.0,9.0,79.0,4.0,1.0,0.0,4.0,0.0,14.0,47.0,47.0,66.0,7.0,14.0,82.0,32.0,40.0,13.0,47.0,16.0,7.0,1.74,1.96,1.84,1.0,1.0,2.0,79.0,70.0,70.0,11.0,0.65,0.04,0.04,6.14,6.14,6.12,188.71,26.67,16.95,36.93,5.99,115.73,59.72,24.88,26.67,24.88,188.0,74.0,80.0,342.0,22.0,21.0,4.0,23.0,4.0,106.0,86.0,166.0,240.0,12.0,24.0,128.0,13.0,11.0,60.0,183.0,46.0,33.0,4.18,5.79,16.71,1.0,7.0,14.0,342.0,262.0,262.0,8.0,4.39,6.65,6.65,24.42,24.42,23.23
NYR,2022,NYR,NYR,Team Level,5on4,51,0.9,0.9,0.89,15189.0,279.68,29.92,26.95,59.04,9.82,180.47,90.8,27.76,29.92,27.76,272.0,125.0,109.0,506.0,29.0,32.0,1.0,48.0,7.0,179.0,102.0,243.0,368.0,8.0,16.0,153.0,15.0,14.0,46.0,293.0,77.0,27.0,8.43,9.67,11.82,11.0,8.0,10.0,506.0,397.0,397.0,6.0,6.8,4.4,4.32,32.4,32.4,30.87,36.93,3.43,1.74,5.49,1.13,11.75,25.46,3.38,3.43,3.38,40.0,9.0,8.0,57.0,2.0,3.0,0.0,2.0,0.0,6.0,36.0,38.0,47.0,4.0,8.0,125.0,36.0,25.0,15.0,35.0,11.0,3.0,0.86,1.53,1.04,0.0,2.0,0.0,57.0,49.0,49.0,14.0,0.4,1.04,1.04,2.8,2.8,2.79
NYI,2022,NYI,NYI,Team Level,other,54,0.42,0.45,0.46,6769.0,83.77,17.44,6.17,14.99,2.72,47.73,26.95,16.8,17.44,16.8,80.0,36.0,43.0,159.0,20.0,10.0,2.0,19.0,3.0,32.0,32.0,60.0,96.0,4.0,6.0,78.0,14.0,14.0,16.0,59.0,33.0,24.0,2.57,3.92,10.95,4.0,2.0,14.0,159.0,116.0,116.0,4.0,1.8,2.7,2.7,16.55,16.55,16.14,99.9,23.95,7.52,17.33,3.4,54.89,30.92,22.97,23.95,22.97,95.0,43.0,55.0,193.0,24.0,11.0,1.0,15.0,5.0,47.0,36.0,71.0,114.0,5.0,10.0,85.0,13.0,10.0,16.0,64.0,40.0,34.0,2.4,4.91,16.63,2.0,6.0,16.0,193.0,138.0,138.0,7.0,2.13,3.27,3.69,22.39,22.39,21.85
NYI,2022,NYI,NYI,Team Level,all,54,0.49,0.49,0.49,196244.0,1657.04,169.28,119.2,394.54,56.61,924.34,646.03,160.05,169.43,160.24,1652.0,658.0,852.0,3162.0,154.0,195.0,22.0,353.0,44.0,773.0,791.0,1498.0,2156.0,186.0,415.0,1518.0,1471.0,368.0,536.0,1671.0,445.0,194.0,48.6,54.58,66.1,59.0,45.0,50.0,3169.9,2310.0,2312.85,254.0,26.32,40.59,40.6,155.01,155.16,150.46,1764.22,173.81,125.71,416.41,59.88,966.59,695.6,165.04,174.2,165.42,1704.0,734.0,894.0,3332.0,142.0,192.0,22.0,327.0,61.0,826.0,890.0,1562.0,2296.0,183.0,410.0,1488.0,1195.0,337.0,573.0,1786.0,465.0,187.0,51.72,58.62,63.47,42.0,54.0,46.0,3337.85,2438.0,2443.94,295.0,27.81,40.38,40.38,161.24,161.27,156.8
NYI,2022,NYI,NYI,Team Level,5on5,54,0.49,0.49,0.49,158664.0,1303.31,117.43,89.89,323.91,44.87,717.97,522.92,111.85,117.57,112.04,1303.0,514.0,689.0,2506.0,112.0,155.0,15.0,280.0,36.0,606.0,628.0,1191.0,1705.0,164.0,368.0,1168.0,1401.0,315.0,450.0,1342.0,344.0,131.0,38.98,42.44,36.01,51.0,39.0,22.0,2513.9,1817.0,1819.85,231.0,18.66,29.13,29.15,106.95,107.11,104.88,1382.32,119.85,92.4,340.76,46.93,753.08,558.98,114.59,120.23,114.98,1318.0,594.0,699.0,2611.0,91.0,144.0,17.0,265.0,50.0,646.0,716.0,1227.0,1821.0,162.0,365.0,1138.0,1124.0,293.0,488.0,1446.0,348.0,118.0,41.98,44.06,33.83,33.0,35.0,23.0,2616.85,1912.0,1917.94,263.0,19.13,29.17,29.26,109.73,109.76,107.4
